"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 14:02:36 GMT 2022","Wed Oct 26 14:02:38 GMT 2022","1809","","Main page features","","Main page features","Should check if products blocks are clickable","Should check if products blocks are clickable",""
"passed","Wed Oct 26 14:02:50 GMT 2022","Wed Oct 26 14:02:54 GMT 2022","3863","","Price, SIP Trunking page features","","Price, SIP Trunking page features","Should send empty Trunking Price form","Should send empty Trunking Price form",""
"passed","Wed Oct 26 14:02:22 GMT 2022","Wed Oct 26 14:02:31 GMT 2022","8347","","Ebook page features","","Ebook page features","Should Fill ebook form","Should Fill ebook form",""
"passed","Wed Oct 26 14:02:31 GMT 2022","Wed Oct 26 14:02:35 GMT 2022","4722","","Ebook page features","","Ebook page features","Should сheck social link","Should сheck social link",""
"passed","Wed Oct 26 14:03:11 GMT 2022","Wed Oct 26 14:03:11 GMT 2022","768","","Resources page features","","Resources page features","Should subscribe vith empty email","Should subscribe vith empty email",""
"passed","Wed Oct 26 14:02:10 GMT 2022","Wed Oct 26 14:02:14 GMT 2022","3943","","Book a demo page features","","Book a demo page features","Should send empty form","Should send empty form",""
"passed","Wed Oct 26 14:02:16 GMT 2022","Wed Oct 26 14:02:21 GMT 2022","5316","","Career page features","","Career page features","Should open position in new page","Should open position in new page",""
"passed","Wed Oct 26 14:02:38 GMT 2022","Wed Oct 26 14:02:40 GMT 2022","2262","","Book a demo page features","","Book a demo page features","Should send form with invalid email","Should send form with invalid email",""
"passed","Wed Oct 26 14:02:10 GMT 2022","Wed Oct 26 14:02:15 GMT 2022","5081","","About us page features","","About us page features","Should download the full set","Should download the full set",""
"failed","Wed Oct 26 14:02:43 GMT 2022","Wed Oct 26 14:02:57 GMT 2022","13573","","About us page features","","About us page features","Should fill form cloud-vpn","Should fill form cloud-vpn",""
"failed","Wed Oct 26 14:02:26 GMT 2022","Wed Oct 26 14:02:38 GMT 2022","12064","","Book a demo page features","","Book a demo page features","Should send form phone with 15 digit","Should send form phone with 15 digit",""
"passed","Wed Oct 26 14:02:16 GMT 2022","Wed Oct 26 14:02:18 GMT 2022","2276","","Book a demo page features","","Book a demo page features","Should send form empty country","Should send form empty country",""
"passed","Wed Oct 26 14:02:40 GMT 2022","Wed Oct 26 14:02:43 GMT 2022","2700","","Book a demo page features","","Book a demo page features","Should send form with invalid number 5 digits","Should send form with invalid number 5 digits",""
"passed","Wed Oct 26 14:02:39 GMT 2022","Wed Oct 26 14:02:50 GMT 2022","10453","","Price, SIP Trunking page features","","Price, SIP Trunking page features","Should fill Sip Trunking Price form","Should fill Sip Trunking Price form",""
"passed","Wed Oct 26 14:02:14 GMT 2022","Wed Oct 26 14:02:16 GMT 2022","2442","","Book a demo page features","","Book a demo page features","Should send form empty Primary Product interest","Should send form empty Primary Product interest",""
"passed","Wed Oct 26 14:02:23 GMT 2022","Wed Oct 26 14:02:26 GMT 2022","2296","","Book a demo page features","","Book a demo page features","Should send form invalid phone with 16 digit","Should send form invalid phone with 16 digit",""
"failed","Wed Oct 26 14:03:00 GMT 2022","Wed Oct 26 14:03:11 GMT 2022","10944","","Resources page features","","Resources page features","Should subscribe to email subscription","Should subscribe to email subscription",""
"passed","Wed Oct 26 14:02:21 GMT 2022","Wed Oct 26 14:02:23 GMT 2022","2225","","Book a demo page features","","Book a demo page features","Should send form invalid phone with one digit","Should send form invalid phone with one digit",""
"passed","Wed Oct 26 14:02:55 GMT 2022","Wed Oct 26 14:03:00 GMT 2022","5062","","Resources page features","","Resources page features","Should filter by content","Should filter by content",""
"passed","Wed Oct 26 14:02:18 GMT 2022","Wed Oct 26 14:02:21 GMT 2022","2729","","Book a demo page features","","Book a demo page features","Should send form  phone with non-number characters","Should send form  phone with non-number characters",""
